Line,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Airport,"1,517,025","1,576,308","1,974,385","2,161,921","2,356,359","2,503,290","2,771,820","2,992,862","3,083,146","3,643,871","4,496,687","5,403,803","6,131,415"
Bankstown,"16,244,122","15,350,823","15,135,131","14,440,068","13,930,582","14,274,866","15,457,290","16,884,516","16,450,636","16,309,720","16,356,279","16,419,825","16,246,081"
Blue Mountains,"2,703,666","2,727,585","2,778,487","2,728,101","2,727,453","2,722,772","2,646,906","2,707,171","2,584,489","2,555,447","2,582,848","2,583,987","2,421,378"
Carlingford,"445,749","431,778","420,570","362,509","320,754","316,634","313,954","333,726","308,229","298,299","288,589","272,215","237,014"
CBD,"28,296,027","27,963,580","28,309,189","27,672,996","28,527,667","30,665,838","32,694,032","35,321,265","35,021,346","33,506,070","33,683,575","34,409,347","35,971,255"
Central Coast,"6,800,968","6,639,022","6,387,950","6,071,583","5,938,290","5,824,110","5,831,712","6,049,808","5,830,985","5,847,887","5,879,468","5,902,760","5,714,474"
East Hills,"15,945,540","15,521,007","15,801,399","15,523,703","15,356,477","15,669,503","16,521,847","17,108,536","16,669,956","17,010,720","17,469,428","17,940,829","18,107,558"
Eastern Suburbs,"11,268,555","10,746,789","10,531,730","10,001,422","9,608,234","10,015,871","10,214,940","10,757,662","10,402,668","10,468,175","11,284,998","11,623,280","11,584,870"
Hunter,"682,257","679,446","741,506","726,979","757,808","780,044","742,425","776,346","734,870","739,092","779,081","763,477","731,854"
Illawarra,"26,415,739","25,926,763","26,356,943","26,477,687","26,181,457","26,676,565","28,007,308","29,752,735","29,347,872","29,280,520","30,239,560","30,917,601","31,172,564"
Inner West,"18,344,419","17,989,408","18,166,455","17,853,821","17,975,652","18,368,353","19,633,233","20,867,446","20,341,318","20,247,209","20,668,177","21,328,162","21,766,255"
Newcastle,"1,928,575","1,976,829","1,989,322","1,858,332","1,858,848","1,855,900","1,815,677","1,941,024","1,862,109","1,937,573","2,096,680","2,124,924","2,025,086"
North Shore,"27,530,127","27,128,242","27,146,939","26,580,507","26,132,680","26,323,161","26,085,977","27,197,643","27,823,942","28,211,506","28,892,709","29,680,004","29,723,971"
Northern via Macquarie Park,"3,381,194","3,121,963","3,012,636","2,885,082","2,759,851","2,737,870","2,734,978","2,735,857","3,628,816","4,764,540","5,166,708","5,353,949","5,432,338"
Northern via Strathfield,"7,189,079","7,021,881","6,993,604","6,927,904","7,146,487","7,523,283","8,129,153","8,793,021","9,232,790","9,893,639","10,285,992","10,684,736","11,023,025"
Olympic Park,"252,874","243,018","318,764","191,062","168,677","149,086","145,159","201,375","224,943","252,153","257,305","315,897","363,226"
South,"15,839,825","15,551,287","15,460,832","15,026,613","14,493,155","14,787,058","15,523,879","16,473,737","16,170,331","16,012,856","16,230,015","16,677,231","16,765,696"
South Coast,"3,418,863","3,298,153","3,427,063","3,325,732","3,250,396","3,310,993","3,263,165","3,359,945","3,152,944","3,128,768","3,220,602","3,172,227","3,032,736"
Southern Highlands,"457,191","464,343","449,220","427,263","452,036","471,551","474,836","510,641","499,554","499,216","495,451","492,611","485,019"
Western,"31,731,288","31,167,220","31,433,212","31,112,517","30,673,677","32,099,023","34,037,599","36,734,087","35,536,475","35,428,864","36,058,613","36,506,325","35,867,542"
Other,"51,525,988","49,126,655","48,496,040","48,185,711","48,933,969","47,566,308","48,571,582","50,389,059","51,153,388","50,021,693","52,781,482","53,113,993","55,285,765"
Total,"271,919,071","264,652,100","265,331,377","260,541,513","259,550,509","264,642,079","275,617,472","291,888,462","290,060,807","290,057,818","299,214,247","305,687,183","310,089,122"
