 ,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
January,"21,205,881","20,376,965","19,741,962","19,306,319","18,836,032","19,272,945","20,527,672","21,311,298","20,793,393","20,287,645","21,201,946","21,855,077","22,170,321"
February,"21,769,523","20,730,394","20,747,550","20,376,137","20,350,564","20,566,057","21,318,776","22,932,257","22,462,283","22,617,741","22,946,159","24,551,609","23,918,289"
March,"24,876,204","23,703,615","24,386,332","24,036,820","23,888,916","24,232,336","24,973,643","25,490,044","27,039,106","26,860,038","27,878,444","28,295,547","28,028,572"
April,"22,526,275","22,653,407","21,273,384","21,035,551","21,103,815","20,751,542","22,117,616","24,199,165","23,836,787","23,796,916","23,942,610","24,485,072","24,975,697"
May,"24,565,703","23,484,941","22,907,325","22,925,235","23,402,032","24,340,124","24,758,099","25,442,513","25,739,984","25,407,836","26,501,092","27,439,794","27,703,226"
June,"22,119,869","21,271,740","22,178,245","21,820,209","21,234,929","22,015,781","21,876,666","23,834,761","23,649,255","23,620,570","24,519,916","24,698,361","25,044,067"
July,"23,031,565","22,584,033","22,442,451","21,352,531","20,838,600","21,652,765","23,442,387","24,279,141","23,955,860","23,989,470","24,578,557","25,208,815","25,809,520"
August,"23,678,797","22,982,728","23,185,667","23,288,769","23,640,860","23,712,992","24,638,859","25,692,279","25,482,299","25,756,473","26,253,133","27,344,722","27,573,655"
September,"22,092,708","22,482,982","22,911,141","22,156,836","22,061,272","22,023,796","22,320,730","25,051,144","24,600,044","24,822,562","25,719,576","25,689,043","26,203,503"
October,"23,635,663","22,582,539","22,566,084","21,254,113","22,072,668","23,047,442","24,671,660","25,063,827","24,442,968","24,398,256","25,252,173","26,188,797","27,277,197"
November,"22,513,022","21,915,679","22,325,774","22,719,510","22,412,270","22,843,061","24,165,834","24,668,238","24,559,294","25,063,637","25,914,237","26,202,051","26,563,012"
December,"19,903,861","19,883,077","20,665,462","20,269,483","19,708,551","20,183,238","20,805,530","23,923,795","23,499,534","23,436,674","24,506,404","23,728,295","24,822,063"
Total,"271,919,071","264,652,100","265,331,377","260,541,513","259,550,509","264,642,079","275,617,472","291,888,462","290,060,807","290,057,818","299,214,247","305,687,183","310,089,122"
